క్రియ,అర్థం,Root word,To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9,,
అంకించు,"ఒప్పు,ప్రకాశించు",,1,,,2,,,,పున్నమి చంద్రుడు చక్కగా అంకించును,ఆమె ముఖము చంద్రబింబము వలె అంకించు చున్నది
అంకిలిప(వ)డు,"1.అంగిపోవు,అడ్డిపోవు,2.నాశము నొందు",,,1,,,,2,,క్రమశిక్షణ లేని పిల్లలు అంకిలి పడతారు,విలువలు లేని వారు అంకిలి నొందుతారు
అంకు,"దొరకు,లభించు",,2,,,1,,,,సూపర్ మార్కెట్స్ లో అన్ని అంకుతాయి,
అంగడికెక్కు,"వీథికెక్కు,బయలుపడు,ప్రకటమగు",,,1,,,,2,,అత్తాకోడళ్ళు అంగడికెక్కారు,వారి పంచాయితి అంగడి కెక్కింది
అంగలార్చు,"భయాదులచేత ఆర్చు,దుఖించు",,,,1,,2,,,పాముని చూచి అంగలార్చారు,వారి స్థితి అంగలార్చేల వుంది
అంగవించు,"1చేరు2.సంబంధము కలుగజేసికొను1.దగ్గరకువచ్చు,ఛేరువయగు.2.ఉంకించు,ఎత్నించు        3.తెగించు,సాహసించు                                                      ",,,1,2,,,,,కాలువ దాటడానికి అంగవించారు,పాముని చంపడానికి అంగవించారు
అంచించు,"అంచనచేయు,ఊహించు",,1,,,,2,,,పూర్వము నీడను బట్టి టైం అంచించే వారు,నేను scintist ఐనట్టు అంచించాను
అంచుముట్టు,"తుదముట్టు,సమాప్తమగు",,,2,1,,,,,రాజు శత్రుసైన్యాన్ని అంచుముట్టాడు, story అంచుముట్టింది
అంజు,"భయపడు,జంకు;వెనుదీయు:సందేహించు",,,,,2,1,,,పాముని చూసి కూడా వాడు అంజు లేదు,అతను అసలు అంజు పడడు
అంటలుగట్టు,అడగాఏర్పడు 2.గుంపుగాకూడు,,,1,,2,,,,ఆమె hair అంటలు గట్టింది,ఆ గ్యాంగ్ ఎప్పుడు అంటలు గట్టుకొనే ఉంటుంది
అంటసిలు(ల్లు),"అంటు,తాకు",,,1,,,,,2,పిన్ని చావుతో వాళ్ళు అంటసిల్లారు,
అంటు,"ప్రాప్తించు,అబ్బు 2.అత్తు,కూడు,కలియు 3.లగ్నమగు,తగులుకొను 4.నాటుకొను 5.అంటుకొనియుండు,నిలుచు 6.కలుగు,పుట్టు",,,,,,1,,2,వారికి అదృష్టం బాగా అంటుకున్నది, మొన్న వేసిన మొక్క అంటుకుంది
అంటుకొను,"లగ్నమగు,తగులుకొను,అతుకుకొను,(నిప్పు అంటుకొను)",,,1,,,,,2,వారికి అదృష్టం బాగా అంటుకున్నది,వంట గదికి నిప్పు అంటుకుంది
అంటుపడు,"అపరిశుద్ధమగు,మైలపడు",,,2,,,,,1,అతని చావుతో ఆ ఇల్లు అంటుపడింది,వారు ఇప్పుడు అంటుపడ్డారు
అండగొట్టు,"వెనుదీయు,మసలు,ఆలస్యము చేయు",,,1,,,,,2,లంచ గొండుల వల్ల అభివృద్ధి అండగొట్టుకుంటుంది,సామర్ధ్యం లేక పోవడం వల్ల పనులు అండగొట్టుకుంటున్నాయి
అండగొను,వెనుదీయు,,,1,,,2,,,ఎదుర్కొనే కెపాసిటీ లేక అండగొన్నారు,
అంతర్ధానముచేయు,"మరుగుపడు,మాయమగు",,,1,2,,,,,ఉన్నట్టుండి అంతర్ధానమయ్యాడు,ఉన్నట్టుండి అంతర్ధానం (మాయ) చేసాడు
అందగించు,"రమ్యమగు,ఒప్పు",,,,2,1,,,,ఆమె ఏది చేసినా అందగించేల ఉంటుంది,
అందపడు,"అందగించు,ఒప్పు",,,,2,1,,,,,తను ఏది చేసినా అందపడేల చేస్తుంది
అందు,"దొరకు,చిక్కు",,,1,,,,,2,కష్ట పడితే విజయం అందుతుంది,దొంగతనం చేస్తూ దొంగ అందాడు
అక్కజపడు,"ఆశ్చర్యపడు,వింతపడు",,1,,,,2,,,ఇంద్రభవనం లాంటి ఆ ఇల్లు చూసి అక్కజపడ్డాను,ఆ  దృశ్యం అక్కజపడేలా వుంది
అక్కటపడు,సంతాపపడు,,1,,2,,,2,,ఎవరైనా చనిపోతే అక్కటపడతాము,
అక్కటికించు,"కరుణించు,జాలిపడు",,,,2,1,,,,నోరు లేని జంతువులను అక్కటికించాలి,
అక్కరపడు,"ఆశపడు,కక్కురితిపడు 2.ఇబ్బందిపడు,కష్టపడు",,,,,1,,,,అతిగా అక్కర పడకూడదు,
అక్కిలిపడు,"కలతపడు 2.పోవు,చెడు",,1,,,,2,,,కష్టాలకు అక్కిలిపడకూడదు,అనారోగ్యం గురించి తెలిసి ఆమె అక్కిలి పడింది
అగడాడు,"ప్రేలు,వదరు",,1,,,,,,2,అర్థం లేని మాటలు అగడాడకూడదు,వాడి మాటలు తూటాల్లా అగడాడాయి
అగడుపడు(డ్పడు),"నింద 2.క్షోభపడు,కలతనొందు",,,,,1,2,,,అనవసరంగా ఒకరి పై అగడుపడకూడదు,ఆమె మాటలకు అతను అగడుపడ్డాడు
అగపడు,"వశమగు,లోబడు,చిక్కు 2.లభించు,దొరకు,ప్రాప్తించు,సిద్ధించు3.తెలియు,ఎరుకపడు 4.గోచరమగు,కనబడు 5.సంభవించు,కలుగు",,,,,1,2,,,ఆస్తి అంత వారికి అగపడింది ,
"అగలు,అగులు","పగులు,భేదిల్లు 2.క్షీణమగు,చెడు3.దుహ్ఖించు",,,,,,,2,1,తాగుడు వల్ల అతని ఆరోగ్యం అగలు పడింది,దుర్వ్యసనాలకు బానిస అయి ఇప్పుడు అగలు చున్నాడు
అగు(వు),"కలుగు,సంభవించు,ఒనగూడు 2.ప్రవర్తిల్లు,జరుగు 3.గతించు,కడచు 4.సిద్ధించు,నెరవేరు 5.తగు,యుక్తమగు,అర్హమగు 6.సమర్థమగు,చాలియుండు 7.వలయు 8.పరిణమించు,మారు 9.శక్యమగు,అలవియగు 10.అనుకూలమగు 11.ఏకమగు,కలియు 12.యదార్థమగు,నిజమగు 13.సిద్ధమగు 14.తోచు,మనసుకు స్ఫురించు 15.కలదియగు,కలిగియుండు16.అధీనమగు,పాలగు 17.సంబంధించు 18.ఉండు 19.see 67 page;20.సమాప్తమగు,ముగియు,పూర్ణమగు 21.వ్యయమగు 22.చేసికొను ",,1,2,,,,,,మనస్పూర్తిగా ఏది అనుకున్న అది అగుతుంది,
