"VERB, ADVERB",To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9
"('వినడానికి', 'ఆసక్తికరంగానే')",,,,2,,,1
"('అనుకరిస్తూ', 'మెగా')",,,1,,2,,
"('వచ్చేసరికి', 'పేలవంగా')",,1,,,,,
"('పొందటానికి', 'సహాయం')",1,,,,2,,
"('ఆకట్టుకుంటుంది', 'సందర్భోచితంగా')",,,,1,,,2
"('పుట్టలేదు', 'పైగా')",,,,,1,,
"('బాగుండేది', 'ఇప్పుడు')",,1,,,,,
"('ప్రవర్తిస్తుంది', 'అప్పుడప్పుడూ')",,,1,,,,
"('చెప్పుకోవడానికి', 'లేదు')",1,,,,,,
"('మారిపోయి', 'ఒక్కసారిగా')",,1,,,,,
"('తీసుకుంటారు', 'ఇలా')",,,,1,,,
"('నడిపించినా', 'ఎక్కడా')",,1,,,,,
"('ఉంటే', 'రాజకీయంగా')",,,,,1,,
"('తెలుసుకోవడం', 'మరియు')",1,,,,,,
"('చెప్పలేకపోయాడు', 'పైగా')",,,,1,,,
"('కెమెరా', 'కొత్తగా')",1,,,,,,
"('పోషించడం', 'చాలా')",,,1,,,,
"('లేని', 'విధంగా')",,,,1,,,
"('త్రివిక్రమ్', 'రచయితగా')",1,,,,,,
"('పడాల్సింది', 'ముఖ్యంగా')",,,1,,,,
"('కదలకుండా', 'అక్కడే')",,,,,,,1
"('పోసాని', 'కూడా')",1,,,,,,
"('గెలిచిన', 'నటిగా')",,,,,1,,
"('అనిపిస్తాయి', 'దూకుడుగా')",1,,,,,,
"('వాస్తవానికి', 'దగ్గరగా')",,,,,,,1
"('జారి', 'అవ్వగా')",1,,,,,,
"('నచ్చింది', 'ముఖ్యంగా')",,,,1,,,
"('పరిచాడు', 'చివరగా')",,,,,,,1
"('కనిపిస్తోంది', 'కాబట్టి')",1,,,,,,
"('లేకుండా', 'సినిమాటిగ్గా')",,,1,,,,
"('పడిపోయాడు', 'చివరగా')",,1,,,,,
"('కాకుండా', 'సూటిగా')",,,,,1,,
"('కనిపిస్తాడు', 'కొంచెం')",1,,,,,,
