word,sentiment,p,n,a,exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అడ్డు,n,0,1,0,1,అడ్డము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఎదురు,n,0,1,0,1,"ఎదురుగా,అభిముఖముగా 2.సమానముగా",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ఏటవాలు,a,0,0,1,1,వంపుగా,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తోడు,p,1,0,0,1,సహాయముగా,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తోపాటు,p,1,0,0,1,"సహార్ధకము,తోడుత",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
నిండు,a,0,0,1,1,"అధికముగా,పూర్ణముగా",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మిక్కిలి,a,0,0,1,1,"అధికముగా,ఎక్కువగా",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మెల్ల,a,0,0,1,1,"మందముగా,త్వరపడక","బిగ్గరకాకుండ,ఉచ్చ్తెర్ధ్వని లేకుండ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
మేలు,p,1,0,0,1,సంపూర్ణముగా,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
విడి,n,0,1,0,1,"ఒంటరిగా,విడిగా",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
వే,a,0,0,1,1,"వేగముగా,త్వరగా 2.శీఘ్రముగా,వెంటనే",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గుప్పున,n,0,1,0,1,"శీఘ్రముగా,వేగముగా,అకస్మాత్తుగా",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అందగాడు,p,1,0,0,1,"అందము గలవాడు,సౌందర్యవంతుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అంధుడు,n,0,1,0,1,"గ్రుడ్డివాడు,వివేకములేనివాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అచ్చు,p,1,0,0,1,"శుద్ధము,దోషములేనిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అటువంటి,a,0,0,1,1,"తాద్రుశము,అట్టి",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అత్త,n,0,1,0,1,"తినువాడు,భక్షకుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అధికారి,p,1,0,0,1,అధికారముగలవాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అధిపతి,p,1,0,0,1,"అధిపుడు, ప్రభువు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అనుకు,a,0,0,1,1,కొంచెము పలుచనిది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అభిమాని,a,0,0,1,1,అభిమానము గలవాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
అలవాటు,a,0,0,1,1,అభ్యాసపడినది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కథకుడు,a,0,0,1,1,"వాచకుడు,చెప్పువాడు,కథలు చెప్పువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కల్పిత,a,0,0,1,1,కల్పకుడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కవి,a,0,0,1,1,"కవిత్వము చెప్పువాడు,పండితుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కాని,a,0,0,1,1,సంభవింపని తగని మొదలగు నర్ధములను దెలుపును,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కారు,a,0,0,1,1,"ఒగరైనది,దున్ననిది(పొలము)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కాశి,p,1,0,0,1,"ప్రకాశశీలుడు,ప్రకాశించువాడు,కాసరోగము కలవాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కిరీటి,p,1,0,0,1,కిరీటము దాల్చినవాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కీడు,n,0,1,0,1,"దుష్టము,చెడ్డది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కుట్ర,n,0,1,0,1,అల్పము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కుమారి,a,0,0,1,1,"కూతురు,కన్య,పెండ్లి కాని పడచు,ఆడులేడి,పార్వతి",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కుమారుడు,a,0,0,1,1,సుందరుడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కృతి,a,0,0,1,1,"నెరనేర్చుకొనిన పని గలవాడు,కుశలుడు,నేర్పరి,పండితుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
కేసరి,a,0,0,1,1,శ్రేష్టుడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గట్టి,a,0,0,1,1,"కర్కశము,కఠినము,దృడము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గది,a,0,0,1,1,"గదను ధరించినవాడు,రోగి,తెవులు గలవాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గబ్బి,a,0,0,1,1,గర్వి,"దుష్టము,నిక్కినది,గొప్పవాడు,ఘనుడు,ధీరుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గాడి,a,0,0,1,1,గాటము,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గాని,a,0,0,1,1,"పోవువాడు,పొగడువాడు,పాడెడువాడు,గానముచేయువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గిరి,a,0,0,1,1,పూజ్యమైనది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గురువు,a,0,0,1,1,"బరువైనది,గొప్పది,పెద్దది,పూజింపదగినది,బలీయమైనది,ఉపాధ్యాయుడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గూఢచారి,a,0,0,1,1,గూఢముగా సంచరించువాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గొప్ప,p,1,0,0,1,"ఘనము,పెద్దది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
గ్రహీత,a,0,0,1,1,"గ్రహించువాడు,పట్టుకొనువాడు,తెలిసికొనువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చంద్రుడు,a,0,0,1,1,"సుందరుడు,అందమైనవాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చక్రి,a,0,0,1,1,"చక్రములు గలది,సూచకుడు,చక్రములు గల రాధాదులనెక్కువాడు",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చాటు,a,0,0,1,1,"చాటైనది,మఱుగుపడినది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చిన్నది,a,0,0,1,1,చిన్నయైనది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చిన్నవాడు,a,0,0,1,1,చిన్నియైనవాడు,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చూడు,a,0,0,1,1,కాల్చుటకు సాధనమైనది,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చేదు,n,0,1,0,1,"తిక్తము,ఇంపు కానిది,అనిష్టము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
చేరువ,a,0,0,1,1,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
జంట,a,0,0,1,1,"జతయైనది,జోడైనది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
జబ్బు,n,0,1,0,1,"అలసము,మందము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
జాడ,a,0,0,1,1,"యుక్తము,యోగ్యము,మంచిది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
జాను,a,0,0,1,1,"మంజులము,మనోహరము,సుందరము,అందమైనది",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
తక్కువ,a,0,0,1,1,"న్యూనము,హీనము",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
